LNG,LAT,ROUTES,STOPNAME,DIR,AMENITIES,DISTANCE_FROM_STREET,DISTRICT,CITY,POSTAL,COUNTY,TEAMBOUNDARY,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID
-105.0252785,39.72965375,"31, 30",Federal Blvd & W 8th Ave,S,P,60,C,Denver,80204,Denver,West,SW,Federal Blvd,W 8th Av,Federal Blvd & W 8th Ave (Stop No. 13768)
-104.994238,39.759506,"120X, 38, FF, LX, LD",Park Ave West & Wewatta St,SE,,100,C,Denver,80202,Denver,West,NW,Park Ave West,Wewatta St,Park Ave West & Wewatta St (Stop No. 23955)
-104.95969,39.759724,24,York St & 30th Ave,N,,75,B,Denver,80205,Denver,East,NE,York St,E 30th Ave,York St & 30th Ave (Stop No. 17398)
-104.975069,39.772599,12,38th St & Brighton Blvd,SE,,145,C,Denver,80216,Denver,West,SW,38th St,Brighton Blvd,38th St & Brighton Blvd (Stop No. 11069)
-105.115058,39.718918,GS,3rd St & Main Ave {1304},NW,B,920,M,Denver,80225,Jefferson,West,,3rd St,W Main Ave,3rd St & Main Ave {1304} (Stop No. 11084)
-105.045319,39.823765,72,W 70th Ave & Utica St,W,,175,C,Westminster,80030,Adams,North,NW,W 70th Av,Utica St,W 70th Ave & Utica St (Stop No. 24293)
-105.081296,39.762454,76,Wadsworth Blvd & W 32nd Ave,N,B,75,M,Wheat Ridge,80033,Jefferson,West,NE,Wadsworth Blvd,W 32nd Av,Wadsworth Blvd & W 32nd Ave (Stop No. 16959)
-104.786135,39.623824,135,Smoky Hill Rd & S Richfield St,SE,B,65,G,Aurora,80015,Arapahoe,East,SE,Smoky Hill Rd,S Richfield St,Smoky Hill Rd & S Richfield St (Stop No. 18294)
-104.839334,39.741303,20,16th Ave & Aurora Ct,E,,75,B,Aurora,80010,Adams,East,SW,E 16th Ave,Aurora Ct,16th Ave & Aurora Ct (Stop No. 26214)
-105.058378,39.914034,120,W 120th Ave & Chase St {1104},E,,175,J,Broomfield,80020,Jefferson,North,SW,W 120th Ave,Chase St,W 120th Ave & Chase St {1104} (Stop No. 26222)
-104.913023,39.660809,65,S Monaco Pkwy & Carter Cir,S,B,106,A,Denver,80222,Arapahoe,East,SW,S Monaco St,Carter Cir S,S Monaco Pkwy & Carter Cir (Stop No. 15522)
-104.870056,39.674658,21,Iliff Ave & S Parker Rd,E,B,112,E,Aurora,80231,Arapahoe,East,SE,E Iliff Av,Parker Rd,Iliff Ave & S Parker Rd (Stop No. 14541)
-104.940134,39.904349,"93L, 39L",Colorado Blvd & 115th Ave {1203},N,13,75,K,Thornton,80233,Adams,North,NE,Colorado Blvd,E 115th Ave,Colorado Blvd & 115th Ave {1203} (Stop No. 18875)
-105.0978145,39.80213272,52,W 58th Ave & Field St,W,B,75,L,Arvada,80004,Jefferson,West,NW,Ralston Rd,Field St,W 58th Ave & Field St (Stop No. 18727)
-105.100718,39.802094,"100, 52",W 58th Ave & Garrison St,W,B,133,L,Arvada,80004,Jefferson,West,NW,Ralston Rd,Garrison St,W 58th Ave & Garrison St (Stop No. 18728)
-104.980784,39.576711,67,Mineral Ave & S Logan Dr,S,,90,H,Littleton,80122,Arapahoe,West,SW,E Mineral Av,S Logan Dr,Mineral Ave & S Logan Dr (Stop No. 18851)
-104.996538,39.87216,8,Huron St & W 96th Pl {1110},N,13,80,J,Thornton,80260,Adams,North,NE,Huron St,W 96th Pl,Huron St & W 96th Pl {1110} (Stop No. 14427)
-104.8294883,39.74723946,FF,Fitzsimons Pkwy & Montview Blvd,S,,110,B,Aurora,80010,Adams,East,SW,Fitzsimons Pkwy,E Montview Blvd,Fitzsimons Pkwy & Montview Blvd (Stop No. 33614)
-104.9925887,39.54957443,"401, 402L, 403",Highlands Ranch Pkwy & S Broadway,W,,150,H,Highlands Ranch,80129,Douglas,West,NW,Highlands Ranch Pkwy,Broadway,Highlands Ranch Pkwy & S Broadway (Stop No. 24997)
-104.835647,39.590283,153,6900 Block S Tucson Way,NW,,75,G,Englewood,80112,Arapahoe,East,N,S Tucson Wy,E Fremont Pl,6900 Block S Tucson Way (Stop No. 24277)
-105.034464,39.826506,72,Lowell Blvd & W 72nd Ave,S,,200,C,Westminster,80030,Adams,North,SW,Lowell Blvd,W 72nd Av,Lowell Blvd & W 72nd Ave (Stop No. 24289)
-104.791304,39.639078,"169, 139, 169L",S Buckley Rd & Quincy Ave,N,,75,F,Aurora,80013,Arapahoe,East,NE,S Buckley Rd,E Quincy Ave,S Buckley Rd & Quincy Ave (Stop No. 22227)
-104.775659,39.679584,131,Evans Ave & Asbury Dr,E,,65,F,Aurora,80013,Arapahoe,East,SE,E Evans Av,E Asbury Dr,Evans Ave & Asbury Dr (Stop No. 23807)
-105.081598,39.790418,76,Wadsworth Blvd & W 52nd Ave,S,B,150,L,Arvada,80002,Jefferson,West,SW,Wadsworth Blvd,W 52nd Av,Wadsworth Blvd & W 52nd Ave (Stop No. 16976)
-105.127858,39.729049,100,W 8th Ave & Simms St,E,B,125,M,Lakewood,80215,Jefferson,West,SE,W 8th Av,Simms St,W 8th Ave & Simms St (Stop No. 11867)
-105.1639113,39.81232598,125,W 64th Ave & Indiana St,E,B,90,L,Arvada,80004,Jefferson,West,SE,W 64th Av,Indiana St,W 64th Ave & Indiana St (Stop No. 21854)
-104.9315739,39.79430221,40,5400 Block Dahlia St,N,B,1200,K,Commerce City,80022,Adams,North,,Dahlia St,E 52nd Ave,5400 Block Dahlia St (Stop No. 13220)
-104.82426,39.778831,42,46th Ave & Andrews Dr,E,B,90,B,Denver,80239,Denver,East,SE,E 46th Av,Andrews Dr,46th Ave & Andrews Dr (Stop No. 18740)
-104.9129305,39.80959967,88,Monaco St & 62nd Ave,S,,90,K,Commerce City,80022,Adams,North,SW,Monaco St,E 62nd Ave,Monaco St & 62nd Ave (Stop No. 26086)
-104.882843,39.885351,104L,104th Ave & Belle Creek Blvd,W,,75,K,Commerce City,80640,Adams,North,NE,E 104th Ave,Belle Creek Blvd,104th Ave & Belle Creek Blvd (Stop No. 26093)
-105.071297,39.616686,59,W Grant Ranch Blvd & W Dorado Dr W,E,,90,D,Denver,80123,Denver,West,SE,W Grant Ranch Blvd,Dorado Dr,W Grant Ranch Blvd & W Dorado Dr W (Stop No. 25005)
-105.020846,39.577965,401,W Mineral Ave & W Long Ave,SE,,75,H,Littleton,80120,Arapahoe,West,S,W Mineral Av,W Long Av W,W Mineral Ave & W Long Ave (Stop No. 17618)
-104.862226,39.67486,21,Iliff Ave & S Jamaica St,W,B,65,E,Aurora,80014,Arapahoe,East,NW,E Iliff Av,S Jamaica St,Iliff Ave & S Jamaica St (Stop No. 14533)
-105.080648,39.667627,"30L, 30",W Yale Ave & S Wadsworth Blvd,E,B,150,D,Denver,80227,Denver,West,SE,W Yale Av,S Wadsworth Blvd,W Yale Ave & S Wadsworth Blvd (Stop No. 17366)
-104.9747994,39.65391564,TRLY,S Corona St & Girard Ave,S,,75,D,Englewood,80113,Arapahoe,East,,S Folsom St N,S Boulder Creek St N,S Corona St & Girard Ave (Stop No. 41000)
-105.123817,39.93278785,FF,US 36 & Flatiron Station Gate D {1105},E,PR,5,I,Broomfield,80020,Broomfield,North,S,Us Hwy 36 Ramp S,Flatiron Crossing Cir,US 36 & Flatiron Station Gate D {1105} (Stop No. 25331)
-104.959248,39.696864,24,S University Blvd & Mississippi Ave,N,"B, T, 51",90,A,Denver,80209,Denver,East,NE,S University Blvd,E Mississippi Ave,S University Blvd & Mississippi Ave (Stop No. 16859)
-105.177427,40.054814,205,Heatherwood Dr & Ashfield Ct,W,,75,O,Gunbarrel,80301,Boulder,North,NW,Heatherwood Dr,Ashfield Ct,Heatherwood Dr & Ashfield Ct (Stop No. 19393)
-105.005893,39.852107,19,Pecos St & W 85th Ave {1110},N,,50,J,Federal Heights,80260,Adams,North,NE,Pecos St,W 85th Av,Pecos St & W 85th Ave {1110} (Stop No. 20516)
-105.2035216,39.9861071,DASH,6400 Block South Boulder Rd,E,,2625,O,Boulder,80303,Boulder,North, ,South Boulder Rd,S Cherryvale Rd,6400 Block South Boulder Rd (Stop No. 33484)
-104.8734757,39.5377324,"483, 403",Park Meadows Dr & Lincoln Ave Nearside {1401},S,,250,G,Lone Tree,80124,Douglas,East,NW,Park Meadows Dr,Lincoln Ave,Park Meadows Dr & Lincoln Ave Nearside {1401} (Stop No. 25727)
-104.819332,39.742345,153,Sable Blvd & 16th Pl,N,B,10,B,Aurora,80011,Adams,East,SE,Sable Blvd,E 16th Pl,Sable Blvd & 16th Pl (Stop No. 18795)
-105.095821,39.877711,76,Wadsworth Pkwy & W 100th Ave,SE,B,75,L,Westminster,80021,Jefferson,North,NW,Wadsworth Pkwy,W 100th Av,Wadsworth Pkwy & W 100th Ave (Stop No. 14444)
-105.063075,39.827416,72,W 72nd Ave & Ingalls St,W,B,5,L,Westminster,80003,Jefferson,North,NW,W 72nd Av,Ingalls St,W 72nd Ave & Ingalls St (Stop No. 11665)
-104.8584053,39.91420601,120L,120th Ave & US 85,E,,225,K,Commerce City,80640,Adams,North,SW,W 120th ,Hwy 85,120th Ave & US 85 (Stop No. 33630)
-104.846722,39.711061,"3L, 3",Alameda Ave & S Peoria St,E,B,95,E,Aurora,80012,Arapahoe,East,SE,E Alameda Av,S Peoria St,Alameda Ave & S Peoria St (Stop No. 12065)
-104.808315,39.696477,130,Mississippi Ave & S Chambers Rd,E,B,410,F,Aurora,80017,Arapahoe,East,,E Mississippi Av,S Chambers Rd,Mississippi Ave & S Chambers Rd (Stop No. 15328)
-105.1552938,39.72482138,125,W 6th Ave S Service Rd & Deframe Ct,E,B,145,M,Lakewood,80401,Jefferson,West,SE,W 6th Av Service Rd,Deframe Ct,W 6th Ave S Service Rd & Deframe Ct (Stop No. 19606)
-105.2136087,40.00005529,225,Baseline Rd & Cherryvale Rd,E,,200,O,Boulder,80303,Boulder,North,SW,Baseline Rd S,Cherry Vale Rd,Baseline Rd & Cherryvale Rd (Stop No. 22812)
-104.903328,39.682392,73,S Quebec St & Jewell Ave,N,,60,A,Denver,80231,Denver,East,NE,S Quebec St,E Jewell Av,S Quebec St & Jewell Ave (Stop No. 25310)
-104.941987,39.717898,46,1st Ave & Harrison St,W,B,105,A,Denver,80206,Denver,East,NW,E 1st Ave,Harrison St,1st Ave & Harrison St (Stop No. 10438)
-105.052176,39.863415,92,W 92nd Ave & Sheridan Blvd,E,,150,J,Westminster,80031,Adams,North,SE,W 92nd Av,Sheridan Blvd,W 92nd Ave & Sheridan Blvd (Stop No. 21013)
-105.025052,39.790638,31,Federal Blvd & W 52nd Ave,N,B,150,C,Denver,80221,Denver,West,SE,Federal Blvd,W 52nd Av,Federal Blvd & W 52nd Ave (Stop No. 13733)
-105.025379,39.794487,31,Federal Blvd & W 54th Ave,S,B,75,C,Berkley,80221,Adams,West,SW,Federal Blvd,W 54th Av,Federal Blvd & W 54th Ave (Stop No. 13735)
-105.025445,39.798154,31,Federal Blvd & W 56th Ave,S,B,75,C,Berkley,80221,Adams,West,SW,Federal Blvd,W 56th Av,Federal Blvd & W 56th Ave (Stop No. 13737)
-105.025453,39.802971,31,Federal Blvd & W 58th Ave,S,B,75,C,Berkley,80221,Adams,North,SW,Federal Blvd,W 58th Av,Federal Blvd & W 58th Ave (Stop No. 13738)
-105.0126745,39.86358221,92,W 92nd Ave & Holiday Mall {1110},W,,90,J,Federal Heights,80260,Adams,North,NW,W 92nd Av,Holiday Cir,W 92nd Ave & Holiday Mall {1110} (Stop No. 18322)
-104.771983,39.780921,"45, 169L",Tower Rd & 47th Ave,N,,1056,B,Denver,80249,Denver,East, ,Tower Rd,E 45th Ave,Tower Rd & 47th Ave (Stop No. 23707)
