LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-105.0252785,39.72965375,"31, 30",Federal Blvd & W 8th Ave,S,60,Denver,80204,SW,Federal Blvd,W 8th Av,Federal Blvd & W 8th Ave (Stop No. 13768),,Denver County
-104.994238,39.759506,"120X, 38, FF, LX, LD",Park Ave West & Wewatta St,SE,100,Denver,80202,NW,Park Ave West,Wewatta St,Park Ave West & Wewatta St (Stop No. 23955),,Denver County
-104.95969,39.759724,24,York St & 30th Ave,N,75,Denver,80205,NE,York St,E 30th Ave,York St & 30th Ave (Stop No. 17398),,Denver County
-104.975069,39.772599,12,38th St & Brighton Blvd,SE,145,Denver,80216,SW,38th St,Brighton Blvd,38th St & Brighton Blvd (Stop No. 11069),,Denver County
-105.115058,39.718918,GS,3rd St & Main Ave {1304},NW,920,Denver,80225,,3rd St,W Main Ave,3rd St & Main Ave {1304} (Stop No. 11084),,Denver County
-105.045319,39.823765,72,W 70th Ave & Utica St,W,175,Westminster,80030,NW,W 70th Av,Utica St,W 70th Ave & Utica St (Stop No. 24293),,Westminster County
-105.081296,39.762454,76,Wadsworth Blvd & W 32nd Ave,N,75,Wheat Ridge,80033,NE,Wadsworth Blvd,W 32nd Av,Wadsworth Blvd & W 32nd Ave (Stop No. 16959),,Wheat Ridge County
-104.786135,39.623824,135,Smoky Hill Rd & S Richfield St,SE,65,Aurora,80015,SE,Smoky Hill Rd,S Richfield St,Smoky Hill Rd & S Richfield St (Stop No. 18294),,Aurora County
-104.839334,39.741303,20,16th Ave & Aurora Ct,E,75,Aurora,80010,SW,E 16th Ave,Aurora Ct,16th Ave & Aurora Ct (Stop No. 26214),,Aurora County
-105.058378,39.914034,120,W 120th Ave & Chase St {1104},E,175,Broomfield,80020,SW,W 120th Ave,Chase St,W 120th Ave & Chase St {1104} (Stop No. 26222),,Broomfield County
-104.913023,39.660809,65,S Monaco Pkwy & Carter Cir,S,106,Denver,80222,SW,S Monaco St,Carter Cir S,S Monaco Pkwy & Carter Cir (Stop No. 15522),,Denver County
-104.870056,39.674658,21,Iliff Ave & S Parker Rd,E,112,Aurora,80231,SE,E Iliff Av,Parker Rd,Iliff Ave & S Parker Rd (Stop No. 14541),,Aurora County
-104.940134,39.904349,"93L, 39L",Colorado Blvd & 115th Ave {1203},N,75,Thornton,80233,NE,Colorado Blvd,E 115th Ave,Colorado Blvd & 115th Ave {1203} (Stop No. 18875),,Thornton County
-105.0978145,39.80213272,52,W 58th Ave & Field St,W,75,Arvada,80004,NW,Ralston Rd,Field St,W 58th Ave & Field St (Stop No. 18727),,Arvada County
-105.100718,39.802094,"100, 52",W 58th Ave & Garrison St,W,133,Arvada,80004,NW,Ralston Rd,Garrison St,W 58th Ave & Garrison St (Stop No. 18728),,Arvada County
-104.980784,39.576711,67,Mineral Ave & S Logan Dr,S,90,Littleton,80122,SW,E Mineral Av,S Logan Dr,Mineral Ave & S Logan Dr (Stop No. 18851),,Littleton County
-104.996538,39.87216,8,Huron St & W 96th Pl {1110},N,80,Thornton,80260,NE,Huron St,W 96th Pl,Huron St & W 96th Pl {1110} (Stop No. 14427),,Thornton County
-104.8294883,39.74723946,FF,Fitzsimons Pkwy & Montview Blvd,S,110,Aurora,80010,SW,Fitzsimons Pkwy,E Montview Blvd,Fitzsimons Pkwy & Montview Blvd (Stop No. 33614),,Aurora County
-104.9925887,39.54957443,"401, 402L, 403",Highlands Ranch Pkwy & S Broadway,W,150,Highlands Ranch,80129,NW,Highlands Ranch Pkwy,Broadway,Highlands Ranch Pkwy & S Broadway (Stop No. 24997),,Highlands Ranch County
-104.835647,39.590283,153,6900 Block S Tucson Way,NW,75,Englewood,80112,N,S Tucson Wy,E Fremont Pl,6900 Block S Tucson Way (Stop No. 24277),,Englewood County
-105.034464,39.826506,72,Lowell Blvd & W 72nd Ave,S,200,Westminster,80030,SW,Lowell Blvd,W 72nd Av,Lowell Blvd & W 72nd Ave (Stop No. 24289),,Westminster County
-104.791304,39.639078,"169, 139, 169L",S Buckley Rd & Quincy Ave,N,75,Aurora,80013,NE,S Buckley Rd,E Quincy Ave,S Buckley Rd & Quincy Ave (Stop No. 22227),,Aurora County
-104.775659,39.679584,131,Evans Ave & Asbury Dr,E,65,Aurora,80013,SE,E Evans Av,E Asbury Dr,Evans Ave & Asbury Dr (Stop No. 23807),,Aurora County
-105.081598,39.790418,76,Wadsworth Blvd & W 52nd Ave,S,150,Arvada,80002,SW,Wadsworth Blvd,W 52nd Av,Wadsworth Blvd & W 52nd Ave (Stop No. 16976),,Arvada County
-105.127858,39.729049,100,W 8th Ave & Simms St,E,125,Lakewood,80215,SE,W 8th Av,Simms St,W 8th Ave & Simms St (Stop No. 11867),,Lakewood County
-105.1639113,39.81232598,125,W 64th Ave & Indiana St,E,90,Arvada,80004,SE,W 64th Av,Indiana St,W 64th Ave & Indiana St (Stop No. 21854),,Arvada County
-104.9315739,39.79430221,40,5400 Block Dahlia St,N,1200,Commerce City,80022,,Dahlia St,E 52nd Ave,5400 Block Dahlia St (Stop No. 13220),,Commerce City County
-104.82426,39.778831,42,46th Ave & Andrews Dr,E,90,Denver,80239,SE,E 46th Av,Andrews Dr,46th Ave & Andrews Dr (Stop No. 18740),,Denver County
-104.9129305,39.80959967,88,Monaco St & 62nd Ave,S,90,Commerce City,80022,SW,Monaco St,E 62nd Ave,Monaco St & 62nd Ave (Stop No. 26086),,Commerce City County
-104.882843,39.885351,104L,104th Ave & Belle Creek Blvd,W,75,Commerce City,80640,NE,E 104th Ave,Belle Creek Blvd,104th Ave & Belle Creek Blvd (Stop No. 26093),,Commerce City County
