areaname,incdesc,income,population
Colorado,Median Household Income - United States Census,"65,718",NULL
Adams County,Median Household Income - United States Census,"65,442",NULL
Alamosa County,Median Household Income - United States Census,"37,057",NULL
Arapahoe County,Median Household Income - United States Census,"70,866",NULL
Archuleta County,Median Household Income - United States Census,"51,998",NULL
Baca County,Median Household Income - United States Census,"34,070",NULL
Bent County,Median Household Income - United States Census,"33,951",NULL
Boulder County,Median Household Income - United States Census,"74,772",NULL
Broomfield County,Median Household Income - United States Census,"86,870",NULL
Chaffee County,Median Household Income - United States Census,"49,877",NULL
Cheyenne County,Median Household Income - United States Census,"50,558",NULL
Clear Creek County,Median Household Income - United States Census,"68,699",NULL
Conejos County,Median Household Income - United States Census,"34,390",NULL
Costilla County,Median Household Income - United States Census,"27,211",NULL
Crowley County,Median Household Income - United States Census,"35,873",NULL
Custer County,Median Household Income - United States Census,"52,021",NULL
Delta County,Median Household Income - United States Census,"41,798",NULL
Denver County,Median Household Income - United States Census,"61,038",NULL
Dolores County,Median Household Income - United States Census,"46,791",NULL
Douglas County,Median Household Income - United States Census,"112,399",NULL
Eagle County,Median Household Income - United States Census,"79,556",NULL
Elbert County,Median Household Income - United States Census,"86,693",NULL
El Paso County,Median Household Income - United States Census,"63,610",NULL
Fremont County,Median Household Income - United States Census,"46,372",NULL
Garfield County,Median Household Income - United States Census,"69,161",NULL
Gilpin County,Median Household Income - United States Census,"65,472",NULL
Grand County,Median Household Income - United States Census,"63,875",NULL
Gunnison County,Median Household Income - United States Census,"53,753",NULL
Hinsdale County,Median Household Income - United States Census,"51,717",NULL
Huerfano County,Median Household Income - United States Census,"34,626",NULL
Jackson County,Median Household Income - United States Census,"46,671",NULL
Jefferson County,Median Household Income - United States Census,"74,342",NULL
Kiowa County,Median Household Income - United States Census,"43,951",NULL
Kit Carson County,Median Household Income - United States Census,"48,272",NULL
Lake County,Median Household Income - United States Census,"49,064",NULL
La Plata County,Median Household Income - United States Census,"58,499",NULL
Larimer County,Median Household Income - United States Census,"66,561",NULL
Las Animas County,Median Household Income - United States Census,"38,224",NULL
Lincoln County,Median Household Income - United States Census,"42,969",NULL
Logan County,Median Household Income - United States Census,"49,407",NULL
Mesa County,Median Household Income - United States Census,"49,825",NULL
Mineral County,Median Household Income - United States Census,"52,641",NULL
Moffat County,Median Household Income - United States Census,"54,151",NULL
Montezuma County,Median Household Income - United States Census,"40,679",NULL
Montrose County,Median Household Income - United States Census,"43,285",NULL
Morgan County,Median Household Income - United States Census,"49,129",NULL
Otero County,Median Household Income - United States Census,"36,773",NULL
Ouray County,Median Household Income - United States Census,"66,813",NULL
Park County,Median Household Income - United States Census,"68,535",NULL
Phillips County,Median Household Income - United States Census,"49,046",NULL
Pitkin County,Median Household Income - United States Census,"74,576",NULL
