areaname,income,population
Adams County,19119527000,498187
Alamosa County,585294000,16654
Arapahoe County,34689868000,637068
Archuleta County,516046000,12854
Baca County,135352000,3568
Bent County,178236000,5861
Boulder County,20528122000,322226
Broomfield County,4865203000,66529
Chaffee County,759454000,19058
Cheyenne County,93550000,1848
Clear Creek County,513070000,9436
Conejos County,288002000,8129
Costilla County,120235000,3721
Crowley County,145321000,5694
Custer County,195437000,4602
Delta County,983836000,30442
Denver County,46612315000,693060
Dolores County,62899000,2056
Douglas County,22063919000,328632
Eagle County,3486688000,53989
Elbert County,1283373000,25231
El Paso County,30565961000,688284
Fremont County,1519031000,47446
Garfield County,3252159000,58887
Gilpin County,246143000,5931
Grand County,625317000,15008
Gunnison County,713313000,16408
Hinsdale County,35192000,788
Huerfano County,250398000,6677
Jackson County,61958000,1357
Jefferson County,32230590000,571837
Kiowa County,70289000,1373
Kit Carson County,272713000,8195
Lake County,255777000,7618
La Plata County,2843289000,55623
Larimer County,16019414000,339993
Las Animas County,522268000,14103
Lincoln County,176898000,5643
Logan County,1024269000,21919
Mesa County,5870880000,150083
Mineral County,45725000,732
Moffat County,514447000,13109
Montezuma County,1011949000,26999
Montrose County,1481110000,41471
Morgan County,1138884000,28274
Otero County,626984000,18295
Ouray County,247705000,4857
Park County,692527000,17166
Phillips County,183364000,4288
Pitkin County,2285355000,17752
Prowers County,462716000,11922
Pueblo County,5968790000,165123
Rio Blanco County,258413000,6545
Rio Grande County,479897000,11479
Routt County,1754119000,24648
Saguache County,223245000,6389
San Juan County,34106000,694
San Miguel County,608301000,8017
Sedgwick County,113770000,2407
Summit County,1773425000,30374
Teller County,1102342000,24043
Washington County,186986000,4908
Weld County,12593779000,294932
Yuma County,533792000,10103
