zip,county,latitude,longitude,est_population
80001,Jefferson County,39.82,-105.1,819
80002,Jefferson County,39.79,-105.11,17140
80003,Jefferson County,39.83,-105.06,33610
80004,Jefferson County,39.82,-105.1,33620
80005,Jefferson County,39.85,-105.13,27280
80006,Jefferson County,39.82,-105.1,741
80007,Jefferson County,39.86,-105.19,10950
80010,Arapahoe County,39.74,-104.86,40540
80011,Arapahoe County,39.74,-104.78,51740
80012,Arapahoe County,39.69,-104.81,47070
80013,Arapahoe County,39.66,-104.77,70290
80014,Arapahoe County,39.66,-104.84,35970
80015,Arapahoe County,39.63,-104.78,64580
80016,Arapahoe County,39.6,-104.71,51420
80017,Arapahoe County,39.7,-104.79,35000
80018,Arapahoe County,39.69,-104.69,12330
80019,Adams County,39.79,-104.7,2400
80020,Broomfield County,39.94,-105.06,47620
80021,Jefferson County,39.89,-105.11,30350
80022,Adams County,39.88,-104.8,49830
80023,Broomfield County,39.96,-105.02,19830
80024,Adams County,39.84,-104.92,425
80025,Boulder County,39.94,-105.28,210
80026,Boulder County,39.99,-105.09,28280
80027,Boulder County,39.96,-105.14,32270
80028,Boulder County,39.95,-105.14,0
80030,Adams County,39.83,-105.04,14250
80031,Adams County,39.88,-105.05,34190
80033,Jefferson County,39.77,-105.09,22600
80034,Jefferson County,39.77,-105.09,543
80035,Jefferson County,39.88,-105.05,603
80036,Jefferson County,39.88,-105.05,346
80037,Adams County,39.86,-104.86,638
80038,Broomfield County,39.94,-105.06,636
80040,Arapahoe County,39.69,-104.81,517
80041,Arapahoe County,39.69,-104.81,569
80042,Arapahoe County,39.69,-104.81,479
80044,Arapahoe County,39.69,-104.81,692
80045,Adams County,39.75,-104.84,520
80046,Arapahoe County,39.69,-104.81,706
80047,Arapahoe County,39.69,-104.81,1458
80101,Elbert County,39.47,-103.95,290
80102,Adams County,39.75,-104.42,5480
80103,Arapahoe County,39.71,-104.22,2350
80104,Douglas County,39.37,-104.85,30890
80105,Arapahoe County,39.61,-104.04,1090
80106,El Paso County,39.22,-104.53,4120
80107,Elbert County,39.36,-104.6,12330
80108,Douglas County,39.45,-104.85,26400
80109,Douglas County,39.36,-104.9,22390
80110,Arapahoe County,39.64,-104.99,19900
80111,Arapahoe County,39.61,-104.88,30680
80112,Arapahoe County,39.58,-104.86,30580
80113,Arapahoe County,39.64,-104.96,18640
80116,Douglas County,39.38,-104.75,4230
80117,Elbert County,39.34,-104.46,2470
80118,Douglas County,39.18,-104.89,5720
80120,Arapahoe County,39.59,-105.01,27340
80121,Arapahoe County,39.61,-104.95,17570
80122,Arapahoe County,39.58,-104.95,29930
80123,Jefferson County,39.62,-105.07,42920
80124,Douglas County,39.53,-104.89,20200
80125,Douglas County,39.49,-105.05,10390
80126,Douglas County,39.54,-104.96,43160
80127,Jefferson County,39.57,-105.14,43810
80128,Jefferson County,39.56,-105.08,35760
80129,Douglas County,39.54,-105,28330
80130,Douglas County,39.54,-104.93,27380
80131,Douglas County,39.48,-105.01,227
80132,El Paso County,39.1,-104.85,24040
80133,El Paso County,39.1,-104.98,2480
80134,Douglas County,39.5,-104.76,63980
80135,Douglas County,39.43,-104.97,3710
80136,Adams County,39.73,-104.3,5220
80137,Arapahoe County,39.75,-104.6,1120
80138,Douglas County,39.52,-104.67,30600
80150,Arapahoe County,39.64,-104.99,468
80151,Arapahoe County,39.64,-104.99,395
80155,Arapahoe County,39.64,-104.99,655
80160,Arapahoe County,39.59,-105.01,457
80161,Arapahoe County,39.59,-105.01,403
80162,Arapahoe County,39.59,-105.01,502
80163,Arapahoe County,39.59,-105.01,549
80165,Arapahoe County,39.59,-105.01,0
80166,Arapahoe County,39.59,-105.01,0
80201,Denver County,39.76,-104.87,1331
80202,Denver County,39.75,-105,10700
80203,Denver County,39.73,-104.98,15930
80204,Denver County,39.73,-105.02,26530
80205,Denver County,39.76,-104.96,27750
80206,Denver County,39.73,-104.95,21450
80207,Denver County,39.76,-104.92,20600
80208,Denver County,39.76,-104.87,36
80209,Denver County,39.71,-104.97,21170
80210,Denver County,39.68,-104.96,29450
80211,Denver County,39.77,-105.02,30010
80212,Denver County,39.77,-105.05,16670
80214,Jefferson County,39.74,-105.07,22580
80215,Jefferson County,39.74,-105.12,17330
80216,Denver County,39.79,-104.96,13100
80217,Denver County,39.76,-104.87,453
80218,Denver County,39.73,-104.97,15550
80219,Denver County,39.7,-105.04,64150
80220,Denver County,39.73,-104.92,33250
80221,Adams County,39.82,-105.01,39630
80222,Denver County,39.67,-104.93,18420
80223,Denver County,39.7,-105,18370
80224,Denver County,39.69,-104.91,16470
80225,Denver County,39.76,-104.87,0
80226,Jefferson County,39.71,-105.09,29970
80227,Jefferson County,39.67,-105.09,32620
80228,Jefferson County,39.69,-105.17,31230
80229,Adams County,39.86,-104.96,51080
80230,Denver County,39.72,-104.89,7790
80231,Denver County,39.67,-104.89,31490
80232,Jefferson County,39.69,-105.09,20540
80233,Adams County,39.9,-104.95,44450
80234,Adams County,39.91,-105,25850
80235,Jefferson County,39.65,-105.09,6760
80236,Denver County,39.65,-105.04,14980
80237,Denver County,39.64,-104.9,19230
80238,Denver County,39.76,-104.87,19370
80239,Denver County,39.79,-104.84,44530
80241,Adams County,39.93,-104.95,30690
80243,Denver County,39.76,-104.87,0
80244,Denver County,39.76,-104.87,0
80246,Denver County,39.71,-104.93,11510
80247,Arapahoe County,39.69,-104.88,23950
80248,Denver County,39.76,-104.87,53
80249,Denver County,39.85,-104.7,30040
80250,Denver County,39.76,-104.87,517
80251,Denver County,39.76,-104.87,0
80252,Denver County,39.76,-104.87,0
80256,Denver County,39.76,-104.87,0
80257,Denver County,39.76,-104.87,0
80259,Denver County,39.76,-104.87,0
80260,Adams County,39.87,-105.01,33800
80261,Denver County,39.76,-104.87,16
80262,Denver County,39.76,-104.87,0
80263,Denver County,39.76,-104.87,0
80264,Denver County,39.74,-104.99,0
80265,Denver County,39.76,-104.87,19
80266,Denver County,39.76,-104.87,0
80271,Denver County,39.76,-104.87,0
80273,Denver County,39.76,-104.87,0
80274,Denver County,39.76,-104.87,45
80279,Denver County,39.76,-104.87,85
80280,Denver County,39.76,-104.87,0
80281,Denver County,39.76,-104.87,0
80290,Denver County,39.74,-104.99,0
80291,Denver County,39.76,-104.87,0
80293,Denver County,39.75,-104.99,0
80294,Denver County,39.75,-104.99,0
80295,Denver County,39.76,-104.87,0
80299,Denver County,39.76,-104.87,0
80301,Boulder County,40.02,-105.25,23080
80302,Boulder County,40.04,-105.37,15670
80303,Boulder County,39.97,-105.21,18470
80304,Boulder County,40.05,-105.29,25190
80305,Boulder County,39.98,-105.25,14980
80306,Boulder County,40.02,-105.25,1775
80307,Boulder County,40.02,-105.25,310
80308,Boulder County,40.02,-105.25,1170
80309,Boulder County,40.02,-105.25,47
